"figure_file","figure_type","hypothesis","role","term","caption","interpretation"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_victim_iri_fs.png","significance","H3","Victim","iri_fs","H3 Victim: model-implied predictions for Empathy: Fantasy.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_victim_iri_pt.png","significance","H3","Victim","iri_pt","H3 Victim: model-implied predictions for Empathy: Perspective taking.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_iri_ec.png","significance","H3","Bystander","iri_ec","H3 Bystander: model-implied predictions for Empathy: Empathic concern.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_iri_pd.png","significance","H3","Bystander","iri_pd","H3 Bystander: model-implied predictions for Empathy: Personal distress.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_victim_n1_groupoutgroup.png","significance","H3","Bystander","victim_N1_groupoutgroup","H3 Bystander: model-implied predictions for Victim-N1 outgroup vs ingroup.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_victim_n2_groupoutgroup.png","significance","H3","Bystander","victim_N2_groupoutgroup","H3 Bystander: model-implied predictions for Victim-N2 outgroup vs ingroup.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_bystander_n1_groupoutgroup_bystander_n2_groupoutgr.png","significance","H3","Bystander","bystander_N1_groupoutgroup:bystander_N2_groupoutgroup","H3 Bystander: model-implied predictions for Bystander-N1 outgroup vs ingroup x Bystander-N2 outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_victim_n1_groupoutgroup_victim_n2_groupoutgroup.png","significance","H3","Bystander","victim_N1_groupoutgroup:victim_N2_groupoutgroup","H3 Bystander: model-implied predictions for Victim-N1 outgroup vs ingroup x Victim-N2 outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_iri_fs_bystander_victim_groupoutgroup.png","significance","H3","Bystander","iri_fs:bystander_victim_groupoutgroup","H3 Bystander: model-implied predictions for Empathy: Fantasy x Bystander-victim outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h3_bystander_iri_pd_bystander_victim_groupoutgroup.png","significance","H3","Bystander","iri_pd:bystander_victim_groupoutgroup","H3 Bystander: model-implied predictions for Empathy: Personal distress x Bystander-victim outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h4_victim_decision_target.png","significance","H4","Victim","decision_target","H4 Victim: model-implied predictions for Target accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h4_victim_decision_other.png","significance","H4","Victim","decision_other","H4 Victim: model-implied predictions for Other negotiator accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h4_victim_decision_target_decision_other.png","significance","H4","Victim","decision_target:decision_other","H4 Victim: model-implied predictions for Target accepted x Other accepted.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h4_bystander_decision_target.png","significance","H4","Bystander","decision_target","H4 Bystander: model-implied predictions for Target accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h4_bystander_decision_other.png","significance","H4","Bystander","decision_other","H4 Bystander: model-implied predictions for Other negotiator accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h4_bystander_decision_target_decision_other.png","significance","H4","Bystander","decision_target:decision_other","H4 Bystander: model-implied predictions for Target accepted x Other accepted.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_victim_iri_fs.png","significance","H5","Victim","iri_fs","H5 Victim: model-implied predictions for Empathy: Fantasy.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_victim_victim_n2_groupoutgroup.png","significance","H5","Victim","victim_N2_groupoutgroup","H5 Victim: model-implied predictions for Victim-N2 outgroup vs ingroup.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_victim_decision_target.png","significance","H5","Victim","decision_target","H5 Victim: model-implied predictions for Target accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_victim_decision_other.png","significance","H5","Victim","decision_other","H5 Victim: model-implied predictions for Other negotiator accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_victim_iri_fs_victim_n1_groupoutgroup.png","significance","H5","Victim","iri_fs:victim_N1_groupoutgroup","H5 Victim: model-implied predictions for Empathy: Fantasy x Victim-N1 outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_victim_decision_target_decision_other.png","significance","H5","Victim","decision_target:decision_other","H5 Victim: model-implied predictions for Target accepted x Other accepted.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_bystander_victim_n1_groupoutgroup.png","significance","H5","Bystander","victim_N1_groupoutgroup","H5 Bystander: model-implied predictions for Victim-N1 outgroup vs ingroup.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_bystander_victim_n2_groupoutgroup.png","significance","H5","Bystander","victim_N2_groupoutgroup","H5 Bystander: model-implied predictions for Victim-N2 outgroup vs ingroup.","Across the displayed contrast, the model implies higher predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_bystander_decision_target.png","significance","H5","Bystander","decision_target","H5 Bystander: model-implied predictions for Target accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_bystander_decision_other.png","significance","H5","Bystander","decision_other","H5 Bystander: model-implied predictions for Other negotiator accepted.","Across the displayed contrast, the model implies lower predicted judgement toward the right-hand side of the plot."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_bystander_victim_n1_groupoutgroup_victim_n2_groupoutgroup.png","significance","H5","Bystander","victim_N1_groupoutgroup:victim_N2_groupoutgroup","H5 Bystander: model-implied predictions for Victim-N1 outgroup vs ingroup x Victim-N2 outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_bystander_iri_fs_bystander_victim_groupoutgroup.png","significance","H5","Bystander","iri_fs:bystander_victim_groupoutgroup","H5 Bystander: model-implied predictions for Empathy: Fantasy x Bystander-victim outgroup vs ingroup.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_h5_bystander_decision_target_decision_other.png","significance","H5","Bystander","decision_target:decision_other","H5 Bystander: model-implied predictions for Target accepted x Other accepted.","The plotted lines summarize how the fitted predicted judgement changes across the focal term while holding the remaining covariates at their reference profile."
